Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
a11,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:16:59.712965+01:00 CET Europe/Madrid,2025-03-21 12:17:01.012399+01:00 CET Europe/Madrid
p22,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:40.165450+01:00 CET Europe/Madrid,2025-03-21 12:18:41.573270+01:00 CET Europe/Madrid
berta10,Espacio de Igualdad Berta Cáceres-Usera,EdIBC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:16:43.165062+01:00 CET Europe/Madrid,2025-03-21 12:16:44.569322+01:00 CET Europe/Madrid
j3,Biblioteca Municipal Pública José Hierro,BMPJH,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,292,0,73,,00:00:09,2025-03-21 12:17:51.621381+01:00 CET Europe/Madrid,2025-03-21 12:18:00.428040+01:00 CET Europe/Madrid
p3,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:43.319138+01:00 CET Europe/Madrid,2025-03-21 12:18:44.723860+01:00 CET Europe/Madrid
a29,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:03,2025-03-21 12:17:33.870283+01:00 CET Europe/Madrid,2025-03-21 12:17:36.234655+01:00 CET Europe/Madrid
p23,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:03,2025-03-21 12:18:32.068635+01:00 CET Europe/Madrid,2025-03-21 12:18:35.362230+01:00 CET Europe/Madrid
m2,Prisión Alcalá-Meco. Módulo 1,PAM1,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:05.859633+01:00 CET Europe/Madrid,2025-03-21 12:18:06.980874+01:00 CET Europe/Madrid
a31,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:23.631635+01:00 CET Europe/Madrid,2025-03-21 12:17:25.121158+01:00 CET Europe/Madrid
a6,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:16.713121+01:00 CET Europe/Madrid,2025-03-21 12:17:18.170724+01:00 CET Europe/Madrid
p21,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:19:02.563815+01:00 CET Europe/Madrid,2025-03-21 12:19:04.409244+01:00 CET Europe/Madrid
j7,Biblioteca Municipal Pública José Hierro,BMPJH,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:17:54.314722+01:00 CET Europe/Madrid,2025-03-21 12:17:55.969143+01:00 CET Europe/Madrid
a26,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:17:25.123490+01:00 CET Europe/Madrid,2025-03-21 12:17:26.523439+01:00 CET Europe/Madrid
e2,Servicios Sociales de Entrevias,SSdE,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:48.415344+01:00 CET Europe/Madrid,2025-03-21 12:17:50.027634+01:00 CET Europe/Madrid
a8,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:19.430408+01:00 CET Europe/Madrid,2025-03-21 12:17:21.068656+01:00 CET Europe/Madrid
carme5,Espacio de Igualdad Carme Chacón-Hortaleza,EdICC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:16:51.515856+01:00 CET Europe/Madrid,2025-03-21 12:16:52.683915+01:00 CET Europe/Madrid
a30,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:17:36.262343+01:00 CET Europe/Madrid,2025-03-21 12:17:37.934585+01:00 CET Europe/Madrid
a33,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:43.821792+01:00 CET Europe/Madrid,2025-03-21 12:17:45.220091+01:00 CET Europe/Madrid
p2,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,438,0,73,,00:00:25,2025-03-21 12:18:36.962764+01:00 CET Europe/Madrid,2025-03-21 12:19:01.008420+01:00 CET Europe/Madrid
carme8,Espacio de Igualdad Carme Chacón-Hortaleza,EdICC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:16:49.979718+01:00 CET Europe/Madrid,2025-03-21 12:16:51.487867+01:00 CET Europe/Madrid
p6,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:18:52.573760+01:00 CET Europe/Madrid,2025-03-21 12:18:54.163632+01:00 CET Europe/Madrid
p14,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:20.469601+01:00 CET Europe/Madrid,2025-03-21 12:18:21.660268+01:00 CET Europe/Madrid
p10,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:14.072142+01:00 CET Europe/Madrid,2025-03-21 12:18:15.676399+01:00 CET Europe/Madrid
p5,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,292,0,73,,00:00:02,2025-03-21 12:18:48.265366+01:00 CET Europe/Madrid,2025-03-21 12:18:50.807420+01:00 CET Europe/Madrid
berta8,Espacio de Igualdad Berta Cáceres-Usera,EdIBC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:16:40.182877+01:00 CET Europe/Madrid,2025-03-21 12:16:41.523260+01:00 CET Europe/Madrid
carme7,Espacio de Igualdad Carme Chacón-Hortaleza,EdICC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:16:47.424200+01:00 CET Europe/Madrid,2025-03-21 12:16:48.722289+01:00 CET Europe/Madrid
j1,Biblioteca Municipal Pública José Hierro,BMPJH,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:00.429661+01:00 CET Europe/Madrid,2025-03-21 12:18:01.775629+01:00 CET Europe/Madrid
a4,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:04,2025-03-21 12:17:09.086312+01:00 CET Europe/Madrid,2025-03-21 12:17:13.574012+01:00 CET Europe/Madrid
carme12,Espacio de Igualdad Carme Chacón-Hortaleza,EdICC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,292,0,73,,00:00:04,2025-03-21 12:16:45.837164+01:00 CET Europe/Madrid,2025-03-21 12:16:49.976568+01:00 CET Europe/Madrid
a25,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:17:22.314327+01:00 CET Europe/Madrid,2025-03-21 12:17:23.629816+01:00 CET Europe/Madrid
