Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
3,C020 - Centro Lectura Carmen Crespo. Valdemaqueda,RETO020,RETOMadrID - Curso de uso básico de ordenador,true,false,true,801,66,71,05:52:55,10:39:24,2024-06-25 17:55:09.340000+02:00 CEST Europe/Madrid,2024-07-31 19:29:28.856000+02:00 CEST Europe/Madrid
18,C100 - Rescofoil de Colmenar de Oreja,RETO100,RETOMadrID - Curso de uso básico de ordenador,true,true,true,897,68,69,04:24:54,17:06:54,2025-03-12 12:12:36.312000+01:00 CET Europe/Madrid,2025-03-28 10:12:00.514000+01:00 CET Europe/Madrid
6,C001-Centro Cultural de Gascones,RETO001,RETOMadrID - Curso de uso básico de ordenador,true,false,true,417,59,40,06:38:42,08:56:47,2024-11-07 17:18:49.142000+01:00 CET Europe/Madrid,2024-11-22 13:13:04.177000+01:00 CET Europe/Madrid
1,C006 - Ayuntamiento. Robledillo de la Jara,RETO006,RETOMadrID - Curso de uso básico de ordenador,true,false,false,407,36,24,06:24:13,09:03:37,2024-07-19 11:55:00.668000+02:00 CEST Europe/Madrid,2024-08-16 12:00:53.584000+02:00 CEST Europe/Madrid
prueba1,C060 - Centro Polivalente Gargantilla de Lozoya,RETO060,RETOMadrID - Curso de uso básico de ordenador,false,false,false,17,0,0,00:00:22,00:02:56,2024-10-18 12:20:20.310000+02:00 CEST Europe/Madrid,2024-10-18 12:23:16.337000+02:00 CEST Europe/Madrid
9,C103 - Centro Cívico Francisco Rabal de Casarrubuelos,RETO103,RETOMadrID - Curso de uso básico de ordenador,true,true,true,1973,68,61,07:04:38,17:21:07,2025-03-06 12:03:45.803000+01:00 CET Europe/Madrid,2025-03-27 11:57:47.529000+01:00 CET Europe/Madrid
10,C076 - Biblioteca Santa Ana en Villaconejos,RETO076,RETOMadrID - Curso de uso básico de ordenador,false,false,false,184,13,25,01:15:11,01:57:38,2025-02-06 11:37:51.716000+01:00 CET Europe/Madrid,2025-02-11 18:12:11.591000+01:00 CET Europe/Madrid
16,C000 - Escuela Técnica de Ingenieros Informáticos (UPM) - Almacén,RETO000,RETOMadrID - Curso de uso básico de ordenador,false,false,false,571,6,7,00:13:37,06:37:09,2024-11-15 10:32:22.706000+01:00 CET Europe/Madrid,2025-01-27 11:14:19.469000+01:00 CET Europe/Madrid
5,C037 - Centro de lectura María Moliner de Estremera,RETO037,RETOMadrID - Curso de uso básico de ordenador,true,false,true,737,64,69,06:13:57,10:40:04,2024-08-07 19:11:48.472000+02:00 CEST Europe/Madrid,2024-09-09 19:37:51.774000+02:00 CEST Europe/Madrid
24,C058 - CEPA San Martín de la Vega,RETO058,RETOMadrID - Curso de uso básico de ordenador,true,false,true,496,56,58,05:08:53,08:38:17,2024-10-07 13:13:12.789000+02:00 CEST Europe/Madrid,2024-12-16 17:02:31.252000+01:00 CET Europe/Madrid
2,C083 - Biblioteca Municipal de Valdilecha,RETO083,RETOMadrID - Curso de uso básico de ordenador,true,false,true,496,66,71,06:46:46,08:35:03,2024-12-03 11:32:41.961000+01:00 CET Europe/Madrid,2024-12-18 18:47:13.546000+01:00 CET Europe/Madrid
3,C056 - Centro Cultural la Posada,RETO056,RETOMadrID - Curso de uso básico de ordenador,true,false,true,520,66,71,06:47:23,09:31:06,2024-09-26 18:11:12.413000+02:00 CEST Europe/Madrid,2024-11-11 18:44:59.363000+01:00 CET Europe/Madrid
2,C103 - Centro Cívico Francisco Rabal de Casarrubuelos,RETO103,RETOMadrID - Curso de uso básico de ordenador,false,false,false,274,28,15,02:39:23,04:58:44,2025-03-05 17:19:25.497000+01:00 CET Europe/Madrid,2025-03-20 10:13:20.264000+01:00 CET Europe/Madrid
5,C043 - Casa de la Cultura de Belmonte del Tajo,RETO043,RETOMadrID - Curso de uso básico de ordenador,false,false,false,317,23,31,02:20:05,03:00:08,2024-10-02 16:30:53.177000+02:00 CEST Europe/Madrid,2024-10-07 17:28:44.682000+02:00 CEST Europe/Madrid
8,C024 - Centro de Mayores de Prádena del Rincón,RETO024,RETOMadrID - Curso de uso básico de ordenador,true,false,true,362,57,40,04:38:14,07:52:12,2024-11-25 16:29:25.489000+01:00 CET Europe/Madrid,2025-01-29 16:30:27.673000+01:00 CET Europe/Madrid
